Lafayette township                   | Gratiot        |        591
Brevort township                     | Mackinac       |        594
Pickford township                    | Chippewa       |       1595
Texas charter township               | Kalamazoo      |      14697
East Grand Rapids city               | Kent           |      10694
Resort township                      | Emmet          |       2697
Vassar city                          | Tuscola        |       2697
West Bloomfield charter township     | Oakland        |      64690
Wisner township                      | Tuscola        |        690
Garden City city                     | Wayne          |      27692
Marion township                      | Osceola        |       1692
Maple Ridge township                 | Alpena         |       1690
Hanover township                     | Jackson        |       3695
Lincoln charter township             | Berrien        |      14691
Cumming township                     | Ogemaw         |        698
Baldwin township                     | Iosco          |       1694
Deerfield township                   | Lapeer         |       5695
Sterling Heights city                | Macomb         |     129699
Hudson township                      | Charlevoix     |        691
Madison Heights city                 | Oakland        |      29694
Webber township                      | Lake           |       1699
McMillan township                    | Luce           |       2692
Joyfield township                    | Benzie         |        799
Gustin township                      | Alcona         |        795
Jerome township                      | Midland        |       4796
Porter township                      | Cass           |       3798
Thompson township                    | Schoolcraft    |        795
Benton township                      | Eaton          |       2796
Rome township                        | Lenawee        |       1791
Lilley township                      | Newaygo        |        797
Brighton township                    | Livingston     |      17791
Clinton charter township             | Macomb         |      96796
Ovid township                        | Clinton        |       3795
Fife Lake township                   | Grand Traverse |       2791
Greenland township                   | Ontonagon      |        792
Locke township                       | Ingham         |       1791
Plainfield township                  | Iosco          |       3799
Stannard township                    | Ontonagon      |        790
Ferrysburg city                      | Ottawa         |       2892
Worth township                       | Sanilac        |       3894
Stockbridge township                 | Ingham         |       3896
Gun Plain township                   | Allegan        |       5895
Saline township                      | Washtenaw      |       1896
Alaiedon township                    | Ingham         |       2894
Grant city                           | Newaygo        |        894
Grant township                       | St. Clair      |       1891
Leavitt township                     | Oceana         |        891
La Salle township                    | Monroe         |       4894
Sturgis city                         | St. Joseph     |      10994
Butman township                      | Gladwin        |       1999
Burton city                          | Genesee        |      29999
Gerrish township                     | Roscommon      |       2993
Jordan township                      | Antrim         |        992
Marion township                      | Livingston     |       9996
Moran township                       | Mackinac       |        994
Norton Shores city                   | Muskegon       |      23994
Linden city                          | Genesee        |       3991
Sunfield township                    | Eaton          |       1997
Almena township                      | Van Buren      |       4992
Allegan city                         | Allegan        |       4998
Atlas township                       | Genesee        |       7993
Belleville city                      | Wayne          |       3991
Walled Lake city                     | Oakland        |       6999
Sherman township                     | Isabella       |       2991
Dickson township                     | Manistee       |        993
Oscoda charter township              | Iosco          |       6997
Rochester Hills city                 | Oakland        |      70995
Houghton township                    | Keweenaw       |         82
Bohemia township                     | Ontonagon      |         82
Clyde township                       | Allegan        |       2084
Wayland township                     | Allegan        |       3088
Bowne township                       | Kent           |       3084
New Baltimore city                   | Macomb         |      12084
Mount Morris city                    | Genesee        |       3086
Easton township                      | Ionia          |       3082
Tuscola township                     | Tuscola        |       2082
Berrien township                     | Berrien        |       5084
Marshall city                        | Calhoun        |       7088
Manistee township                    | Manistee       |       4084
Mundy township                       | Genesee        |      15082
Palmyra township                     | Lenawee        |       2084
Scio township                        | Washtenaw      |      20081
Negaunee township                    | Marquette      |       3088
Fremont city                         | Newaygo        |       4081
Sherman township                     | Huron          |       1083
Bedford township                     | Monroe         |      31085
Auburn city                          | Bay            |       2087
Robinson township                    | Ottawa         |       6084
Douglass township                    | Montcalm       |       2180
Antwerp township                     | Van Buren      |      12182
Jasper township                      | Midland        |       1180
Perry city                           | Shiawassee     |       2188
Port Huron city                      | St. Clair      |      30184
Vergennes township                   | Kent           |       4189
Empire township                      | Leelanau       |       1182
Leonidas township                    | St. Joseph     |       1185
Bengal township                      | Clinton        |       1188
Commerce charter township            | Oakland        |      40186
Moffatt township                     | Arenac         |       1184
Deerfield township                   | Isabella       |       3188
Greenwood township                   | Oceana         |       1184
Sherman township                     | Mason          |       1186
Cedar Creek township                 | Muskegon       |       3186
Hudson township                      | Mackinac       |        181
Meade township                       | Mason          |        181
Nottawa township                     | Isabella       |       2282
Berlin township                      | St. Clair      |       3285
Cross Village township               | Emmet          |        281
Troy township                        | Newaygo        |        283
Manton city                          | Wexford        |       1287
Sands township                       | Marquette      |       2285
Columbia township                    | Tuscola        |       1284
Fairbanks township                   | Delta          |        281
Laingsburg city                      | Shiawassee     |       1283
Oliver township                      | Kalkaska       |        281
Otisco township                      | Ionia          |       2282
Quincy township                      | Branch         |       4285
Koehler township                     | Cheboygan      |       1283
Midland charter township             | Midland        |       2287
Rockwood city                        | Wayne          |       3289
Frankfort city                       | Benzie         |       1286
New Buffalo township                 | Berrien        |       2386
Blue Lake township                   | Kalkaska       |        387
Flushing city                        | Genesee        |       8389
South Branch township                | Wexford        |        383
Little Traverse township             | Emmet          |       2380
Bismarck township                    | Presque Isle   |        386
Leslie township                      | Ingham         |       2389
Ironwood city                        | Gogebic        |       5387
Trout Lake township                  | Chippewa       |        384
Alma city                            | Gratiot        |       9383
Campbell township                    | Ionia          |       2388
Whittemore city                      | Iosco          |        384
Chesterfield township                | Macomb         |      43381
Victory township                     | Mason          |       1383
Howell city                          | Livingston     |       9489
Riverview city                       | Wayne          |      12486
Butterfield township                 | Missaukee      |        489
Germfask township                    | Schoolcraft    |        486
Norway township                      | Dickinson      |       1489
Paris township                       | Huron          |        481
Alpena city                          | Alpena         |      10483
Menominee township                   | Menominee      |       3488
Hamilton township                    | Van Buren      |       1489
Calumet charter township             | Houghton       |       6489
Coloma city                          | Berrien        |       1483
Oliver township                      | Huron          |       1483
Eden township                        | Lake           |        487
Eveline township                     | Charlevoix     |       1484
Greenville city                      | Montcalm       |       8481
Speaker township                     | Sanilac        |       1483
Wheatland township                   | Sanilac        |        488
Escanaba township                    | Delta          |       3482
Macon township                       | Lenawee        |       1486
Alabaster township                   | Iosco          |        487
Evart township                       | Osceola        |       1483
Fraser city                          | Macomb         |      14480
Traverse City city                   | Grand Traverse |      14482
St. Clair city                       | St. Clair      |       5485
St. Louis city                       | Gratiot        |       7482
Koylton township                     | Tuscola        |       1585
Harrison charter township            | Macomb         |      24587
Genesee charter township             | Genesee        |      21581
Almont township                      | Lapeer         |       6583
Columbia township                    | Van Buren      |       2588
Eden township                        | Mason          |        582
Greenwood township                   | Wexford        |        587
Pleasant Plains township             | Lake           |       1581
Vienna township                      | Montmorency    |        587
Macomb township                      | Macomb         |      79580
Richland township                    | Kalamazoo      |       7580
Clayton charter township             | Genesee        |       7581
Readmond township                    | Emmet          |        581
Crystal township                     | Montcalm       |       2689
Rives township                       | Jackson        |       4683
Burt township                        | Cheboygan      |        680
Hartford city                        | Van Buren      |       2688
Meridian charter township            | Ingham         |      39688
Boon township                        | Wexford        |        687
Elmira township                      | Otsego         |       1687
Fillmore township                    | Allegan        |       2681
Independence charter township        | Oakland        |      34681
Arcada township                      | Gratiot        |       1681
Grant township                       | Mecosta        |        686
Grass Lake charter township          | Jackson        |       5684
Lowell city                          | Kent           |       3783
East China township                  | St. Clair      |       3788
Burleigh township                    | Iosco          |        787
Girard township                      | Branch         |       1780
North Muskegon city                  | Muskegon       |       3786
Springdale township                  | Manistee       |        781
Oakfield township                    | Kent           |       5782
Ash township                         | Monroe         |       7783
Green Lake township                  | Grand Traverse |       5784
Greenleaf township                   | Sanilac        |        781
Oregon township                      | Lapeer         |       5786
Wheeler township                     | Gratiot        |       2786
Lockport township                    | St. Joseph     |       3787
Webster township                     | Washtenaw      |       6784
Grand Ledge city                     | Eaton          |       7784
New Buffalo city                     | Berrien        |       1883
Covert township                      | Van Buren      |       2888
Garfield township                    | Clare          |       1882
North Star township                  | Gratiot        |        888
Portland city                        | Ionia          |       3883
Torch Lake township                  | Houghton       |       1880
Thornapple township                  | Barry          |       7884
Bangor city                          | Van Buren      |       1885
Colfax township                      | Huron          |       1884
Village of Clarkston city            | Oakland        |        882
Wells township                       | Delta          |       4885
Friendship township                  | Emmet          |        889
Scipio township                      | Hillsdale      |       1884
Bagley township                      | Otsego         |       5886
Osceola township                     | Houghton       |       1888
Richmond township                    | Marquette      |        882
Beaver township                      | Bay            |       2885
Clam Union township                  | Missaukee      |        882
Grayling city                        | Crawford       |       1884
Onaway city                          | Presque Isle   |        880
Wyandotte city                       | Wayne          |      25883
Au Gres city                         | Arenac         |        889
South Haven charter township         | Van Buren      |       3983
Rutland charter township             | Barry          |       3987
Suttons Bay township                 | Leelanau       |       2982
Assyria township                     | Barry          |       1986
Portage township                     | Mackinac       |        981
Georgetown charter township          | Ottawa         |      46985
Thomas township                      | Saginaw        |      11985
Troy city                            | Oakland        |      80980
Danby township                       | Ionia          |       2988
Munising township                    | Alger          |       2983
Sandstone township                   | Jackson        |       3984
Romulus city                         | Wayne          |      23989
Elk township                         | Lake           |        985
Rogers township                      | Presque Isle   |        984
Clarence township                    | Calhoun        |       1985
Orange township                      | Ionia          |        987
Village of Grosse Pointe Shores city | Macomb         |         79
Hazelton township                    | Shiawassee     |       2071
Wayland city                         | Allegan        |       4079
Wexford township                     | Wexford        |       1072
Eaton township                       | Eaton          |       4073
Lathrup Village city                 | Oakland        |       4075
Bloomfield charter township          | Oakland        |      41070
Arlington township                   | Van Buren      |       2073
Columbus township                    | St. Clair      |       4070
Inland township                      | Benzie         |       2070
Pulaski township                     | Jackson        |       2075
Coe township                         | Isabella       |       3079
Sheridan township                    | Mason          |       1072
Ludington city                       | Mason          |       8076
Kochville township                   | Saginaw        |       5078
Osceola township                     | Osceola        |       1076
Arbela township                      | Tuscola        |       3070
Beaverton city                       | Gladwin        |       1071
Charlotte city                       | Eaton          |       9074
Clare city                           | Clare          |       3071
Reading city                         | Hillsdale      |       1078
Day township                         | Montcalm       |       1172
Davison city                         | Genesee        |       5173
Riverside township                   | Missaukee      |       1179
Seville township                     | Gratiot        |       2173
Bessemer township                    | Gogebic        |       1176
Haring charter township              | Wexford        |       3173
Canton charter township              | Wayne          |      90173
Elm River township                   | Houghton       |        177
Hillman township                     | Montmorency    |       2175
White Oak township                   | Ingham         |       1173
Deerfield township                   | Livingston     |       4170
Amboy township                       | Hillsdale      |       1173
Sebewa township                      | Ionia          |       1171
Brandon charter township             | Oakland        |      15175
Franklin township                    | Lenawee        |       3174
Grand Haven charter township         | Ottawa         |      15178
Ira township                         | St. Clair      |       5178
Spurr township                       | Baraga         |        276
Hartford township                    | Van Buren      |       3274
North Plains township                | Ionia          |       1279
Porter township                      | Midland        |       1277
Coopersville city                    | Ottawa         |       4275
Centerville township                 | Leelanau       |       1274
Lincoln township                     | Newaygo        |       1275
Pine River township                  | Gratiot        |       2279
Rollin township                      | Lenawee        |       3270
Quincy township                      | Houghton       |        270
Grand Blanc city                     | Genesee        |       8276
Rose Lake township                   | Osceola        |       1373
Barry township                       | Barry          |       3378
Farmington city                      | Oakland        |      10372
Grosse Ile township                  | Wayne          |      10371
Lyon township                        | Roscommon      |       1370
Acme township                        | Grand Traverse |       4375
Armada township                      | Macomb         |       5379
Cherry Grove township                | Wexford        |       2377
Rudyard township                     | Chippewa       |       1370
Orchard Lake Village city            | Oakland        |       2375
Grandville city                      | Kent           |      15378
Bay Mills township                   | Chippewa       |       1477
Fawn River township                  | St. Joseph     |       1477
Covington township                   | Baraga         |        476
Castleton township                   | Barry          |       3471
Essexville city                      | Bay            |       3478
Moscow township                      | Hillsdale      |       1470
Burlington township                  | Lapeer         |       1478
Grosse Pointe Farms city             | Wayne          |       9479
Groveland township                   | Oakland        |       5476
Kenockee township                    | St. Clair      |       2470
Lenox township                       | Macomb         |      10470
Lincoln township                     | Midland        |       2474
Caledonia charter township           | Shiawassee     |       4475
Olive township                       | Clinton        |       2476
Ishpeming city                       | Marquette      |       6470
Green Oak township                   | Livingston     |      17476
Chandler township                    | Huron          |        472
McMillan township                    | Ontonagon      |        478
Clyde township                       | St. Clair      |       5579
Davison township                     | Genesee        |      19575
Ontonagon township                   | Ontonagon      |       2579
Caseville township                   | Huron          |       2570
Bark River township                  | Delta          |       1578
Three Oaks township                  | Berrien        |       2574
Moorland township                    | Muskegon       |       1575
Geneva township                      | Van Buren      |       3573
Kingston township                    | Tuscola        |       1574
Munro township                       | Cheboygan      |        571
Venice township                      | Shiawassee     |       2578
Allouez township                     | Keweenaw       |       1571
Tallmadge charter township           | Ottawa         |       7575
Fairgrove township                   | Tuscola        |       1579
Whitefish township                   | Chippewa       |        575
Big Prairie township                 | Newaygo        |       2573
Sheridan township                    | Clare          |       1575
Sidney township                      | Montcalm       |       2574
Adams township                       | Houghton       |       2573
Hayes township                       | Clare          |       4675
Courtland township                   | Kent           |       7678
Mount Haley township                 | Midland        |       1678
Petoskey city                        | Emmet          |       5670
Ossineke township                    | Alpena         |       1675
Pentland township                    | Luce           |       2674
Sandusky city                        | Sanilac        |       2679
Tompkins township                    | Jackson        |       2671
Bridgewater township                 | Washtenaw      |       1674
Eagle township                       | Clinton        |       2671
Hagar township                       | Berrien        |       3671
Buena Vista charter township         | Saginaw        |       8676
Stephenson township                  | Menominee      |        670
Spalding township                    | Menominee      |       1674
Napoleon township                    | Jackson        |       6776
Ionia township                       | Ionia          |       3779
Penn township                        | Cass           |       1774
Emmett charter township              | Calhoun        |      11770
Coldwater township                   | Isabella       |        777
Milan city                           | Washtenaw      |       3770
Wells township                       | Tuscola        |       1773
Williams charter township            | Bay            |       4772
Oakland charter township             | Oakland        |      16779
Orient township                      | Osceola        |        773
Ashland township                     | Newaygo        |       2773
Highland Park city                   | Wayne          |      11776
Blendon township                     | Ottawa         |       5772
Odessa township                      | Ionia          |       3778
Richland township                    | Montcalm       |       2778
Claybanks township                   | Oceana         |        777
Dearborn Heights city                | Wayne          |      57774
Dowagiac city                        | Cass           |       5879
South Arm township                   | Charlevoix     |       1873
Washington township                  | Gratiot        |        870
Huron charter township               | Wayne          |      15879
Marlette city                        | Sanilac        |       1875
Woodhaven city                       | Wayne          |      12875
Delhi charter township               | Ingham         |      25877
Milton township                      | Cass           |       3878
Wilmot township                      | Cheboygan      |        878
Echo township                        | Antrim         |        877
Flat Rock city                       | Wayne          |       9878
Newaygo city                         | Newaygo        |       1976
Littlefield township                 | Emmet          |       2978
Berkley city                         | Oakland        |      14970
Comins township                      | Oscoda         |       1970
Solon township                       | Kent           |       5974
Williamstown township                | Ingham         |       4978
Lake charter township                | Berrien        |       2972
Blissfield township                  | Lenawee        |       3973
Algansee township                    | Branch         |       1974
Keego Harbor city                    | Oakland        |       2970
Zeeland charter township             | Ottawa         |       9971
Ogden township                       | Lenawee        |        973
Tecumseh township                    | Lenawee        |       1972
Elbridge township                    | Oceana         |        971
Charleston township                  | Kalamazoo      |       1975
Gladstone city                       | Delta          |       4973
Grant township                       | Oceana         |       2976
West Branch township                 | Dickinson      |         63
Zilwaukee township                   | Saginaw        |         67
Sherman township                     | Keweenaw       |         67
Watson township                      | Allegan        |       2063
Alpena township                      | Alpena         |       9060
Republic township                    | Marquette      |       1060
Denmark township                     | Tuscola        |       3068
Yankee Springs township              | Barry          |       4065
Milan city                           | Monroe         |       2066
Lakefield township                   | Luce           |       1061
Jefferson township                   | Hillsdale      |       3063
Shelby township                      | Oceana         |       4069
Chapin township                      | Saginaw        |       1060
Clay township                        | St. Clair      |       9066
Grant township                       | Grand Traverse |       1066
Antrim township                      | Shiawassee     |       2161
Forsyth township                     | Marquette      |       6164
Bennington township                  | Shiawassee     |       3168
Henderson township                   | Wexford        |        163
Hamburg township                     | Livingston     |      21165
Caledonia township                   | Alcona         |       1161
Hulbert township                     | Chippewa       |        168
Niles township                       | Berrien        |      14164
Ewing township                       | Marquette      |        160
Keeler township                      | Van Buren      |       2169
Nadeau township                      | Menominee      |       1161
Albee township                       | Saginaw        |       2160
Beaugrand township                   | Cheboygan      |       1168
Inverness township                   | Cheboygan      |       2261
Sturgis township                     | St. Joseph     |       2261
Spring Arbor township                | Jackson        |       8267
Springfield city                     | Calhoun        |       5260
Kalamazoo city                       | Kalamazoo      |      74262
Walton township                      | Eaton          |       2266
Dafter township                      | Chippewa       |       1263
Buel township                        | Sanilac        |       1265
Hebron township                      | Cheboygan      |        269
Hay township                         | Gladwin        |       1362
Litchfield city                      | Hillsdale      |       1369
Rose township                        | Ogemaw         |       1368
Westphalia township                  | Clinton        |       2365
Ypsilanti charter township           | Washtenaw      |      53362
Markey township                      | Roscommon      |       2360
Pere Marquette charter township      | Mason          |       2366
Vernon township                      | Isabella       |       1369
Duplain township                     | Clinton        |       2363
Hope township                        | Midland        |       1361
Ann Arbor charter township           | Washtenaw      |       4361
Montague city                        | Muskegon       |       2361
Memphis city                         | St. Clair      |        360
Dallas township                      | Clinton        |       2369
Hill township                        | Ogemaw         |       1361
Holly township                       | Oakland        |      11362
Inkster city                         | Wayne          |      25369
Redford charter township             | Wayne          |      48362
Bearinger township                   | Presque Isle   |        369
Unadilla township                    | Livingston     |       3366
St. James township                   | Charlevoix     |        365
St. Joseph city                      | Berrien        |       8365
Crystal Falls city                   | Iron           |       1469
Bourret township                     | Gladwin        |        461
Butler township                      | Branch         |       1467
West Branch township                 | Missaukee      |        466
Bergland township                    | Ontonagon      |        467
Porter township                      | Van Buren      |       2466
Lyons township                       | Ionia          |       3465
Hancock township                     | Houghton       |        461
Hamilton township                    | Gratiot        |        465
Humboldt township                    | Marquette      |        464
Coldsprings township                 | Kalkaska       |       1464
Colfax township                      | Oceana         |        462
Climax township                      | Kalamazoo      |       2463
Sigel township                       | Huron          |        465
Victor township                      | Clinton        |       3460
Clam Lake township                   | Wexford        |       2467
Franklin township                    | Houghton       |       1466
Dover township                       | Otsego         |        561
Austin township                      | Mecosta        |       1561
Rust township                        | Montmorency    |        561
Hartwick township                    | Osceola        |        567
Marathon township                    | Lapeer         |       4568
Flowerfield township                 | St. Joseph     |       1562
Center township                      | Emmet          |        568
Hanover township                     | Wexford        |       1560
Juniata township                     | Tuscola        |       1567
Kinross charter township             | Chippewa       |       7561
Lansing city                         | Ingham         |     109563
Manchester township                  | Washtenaw      |       4569
Monroe charter township              | Monroe         |      14568
Laketon township                     | Muskegon       |       7563
Negaunee city                        | Marquette      |       4568
Deerfield township                   | Lenawee        |       1568
Tobacco township                     | Gladwin        |       2566
Adams township                       | Arenac         |        563
Frankenlust township                 | Bay            |       3562
Wawatam township                     | Emmet          |        661
Pittsfield charter township          | Washtenaw      |      34663
Austin township                      | Sanilac        |        665
East Bay township                    | Grand Traverse |      10663
Ross township                        | Kalamazoo      |       4664
Hartland township                    | Livingston     |      14663
Merrill township                     | Newaygo        |        667
North Shade township                 | Gratiot        |        665
Maple Grove township                 | Saginaw        |       2668
Jonesfield township                  | Saginaw        |       1667
Long Lake township                   | Grand Traverse |       8662
Gilead township                      | Branch         |        661
Richmond township                    | Macomb         |       3665
Bear Lake township                   | Kalkaska       |        667
Grand Rapids charter township        | Kent           |      16661
Dryden township                      | Lapeer         |       4768
Royalton township                    | Berrien        |       4766
Yates township                       | Lake           |        761
Marlette township                    | Sanilac        |       1763
Maple Ridge township                 | Delta          |        766
Brookfield township                  | Huron          |        760
Nelson township                      | Kent           |       4764
Fairfield township                   | Lenawee        |       1764
Alamo township                       | Kalamazoo      |       3762
Kearney township                     | Antrim         |       1765
Reading township                     | Hillsdale      |       1765
Detroit city                         | Wayne          |     713862
Burnside township                    | Lapeer         |       1864
Bloomfield Hills city                | Oakland        |       3869
Ronald township                      | Ionia          |       1869
Baltimore township                   | Barry          |       1861
Lake township                        | Lake           |        862
Briley township                      | Montmorency    |       1860
Union township                       | Branch         |       2868
Cheboygan city                       | Cheboygan      |       4867
Everett township                     | Newaygo        |       1862
Oneida charter township              | Eaton          |       3865
Stephenson city                      | Menominee      |        862
Liberty township                     | Wexford        |        861
St. Johns city                       | Clinton        |       7865
Blumfield township                   | Saginaw        |       1960
East Lansing city                    | Clinton        |       1969
Harris township                      | Menominee      |       1968
Norvell township                     | Jackson        |       2963
Crockery township                    | Ottawa         |       3960
Grout township                       | Gladwin        |       1964
Wilson township                      | Charlevoix     |       1964
Exeter township                      | Monroe         |       3968
Spencer township                     | Kent           |       3960
Alcona township                      | Alcona         |        968
Liberty township                     | Jackson        |       2961
Beaverton township                   | Gladwin        |       1964
Ida township                         | Monroe         |       4964
Flynn township                       | Sanilac        |       1050
Drummond township                    | Chippewa       |       1058
Ford River township                  | Delta          |       2054
Vermontville township                | Eaton          |       2053
Warren city                          | Macomb         |     134056
Lapeer township                      | Lapeer         |       5056
Superior charter township            | Washtenaw      |      13058
Geneva township                      | Midland        |       1056
Fremont township                     | Sanilac        |       1051
Lodi township                        | Washtenaw      |       6058
Blackman charter township            | Jackson        |      24051
Brampton township                    | Delta          |       1050
Clark township                       | Mackinac       |       2056
Novi township                        | Oakland        |        150
Riverton township                    | Mason          |       1153
Forest township                      | Missaukee      |       1157
Springport township                  | Jackson        |       2159
Turin township                       | Marquette      |        153
Onondaga township                    | Ingham         |       3158
Hendricks township                   | Mackinac       |        153
Bellevue township                    | Eaton          |       3150
Mellen township                      | Menominee      |       1150
Freeman township                     | Clare          |       1157
Midland city                         | Bay            |        157
Secord township                      | Gladwin        |       1151
Spaulding township                   | Saginaw        |       2153
Lawrence township                    | Van Buren      |       3259
Irving township                      | Barry          |       3250
Custer township                      | Mason          |       1254
Mason city                           | Ingham         |       8252
Rose township                        | Oakland        |       6250
Garfield charter township            | Grand Traverse |      16256
Verona township                      | Huron          |       1259
Center Line city                     | Macomb         |       8257
Highland township                    | Osceola        |       1250
Vienna charter township              | Genesee        |      13255
Cedarville township                  | Menominee      |        253
Elba township                        | Lapeer         |       5250
Grant township                       | Clare          |       3259
Isabella township                    | Isabella       |       2253
Prairie Ronde township               | Kalamazoo      |       2250
Au Sable township                    | Roscommon      |        255
Mitchell township                    | Alcona         |        352
East Jordan city                     | Charlevoix     |       2351
Hastings city                        | Barry          |       7350
Marquette city                       | Marquette      |      21355
Onota township                       | Alger          |        352
Montcalm township                    | Montcalm       |       3350
Monterey township                    | Allegan        |       2356
Munising city                        | Alger          |       2355
Homestead township                   | Benzie         |       2357
Kimball township                     | St. Clair      |       9358
Millington township                  | Tuscola        |       4354
Riley township                       | St. Clair      |       3353
Wheatland township                   | Hillsdale      |       1351
Addison township                     | Oakland        |       6351
Bedford charter township             | Calhoun        |       9357
Cadillac city                        | Wexford        |      10355
Charlton township                    | Otsego         |       1354
Platte township                      | Benzie         |        354
Arvon township                       | Baraga         |        450
Waverly township                     | Cheboygan      |        457
Burns township                       | Shiawassee     |       3457
Bloomfield township                  | Huron          |        455
Pioneer township                     | Missaukee      |        451
Winterfield township                 | Clare          |        459
Summerfield township                 | Clare          |        456
Galien township                      | Berrien        |       1452
Gilmore township                     | Isabella       |       1459
Ingham township                      | Ingham         |       2452
Sage township                        | Gladwin        |       2457
Fremont township                     | Isabella       |       1455
Cedar township                       | Osceola        |        455
Buchanan city                        | Berrien        |       4456
Swan Creek township                  | Saginaw        |       2456
St. Ignace city                      | Mackinac       |       2452
Mayfield township                    | Grand Traverse |       1550
Newton township                      | Calhoun        |       2551
Waverly township                     | Van Buren      |       2554
Cottrellville township               | St. Clair      |       3559
Mathias township                     | Alger          |        554
Norman township                      | Manistee       |       1553
Turner township                      | Arenac         |        550
Grosse Pointe Park city              | Wayne          |      11553
Denton township                      | Roscommon      |       5557
Fenton charter township              | Genesee        |      15552
Lake township                        | Menominee      |        556
China township                       | St. Clair      |       3551
Laird township                       | Houghton       |        555
Raisin township                      | Lenawee        |       7559
Athens township                      | Calhoun        |       2554
Logan township                       | Ogemaw         |        551
Edenville township                   | Midland        |       2551
Richmond township                    | Osceola        |       1554
Blaine township                      | Benzie         |        551
Wayne township                       | Cass           |       2654
Lexington township                   | Sanilac        |       3658
Mastodon township                    | Iron           |        656
Rose City city                       | Ogemaw         |        653
Washington township                  | Sanilac        |       1659
Bertrand township                    | Berrien        |       2657
Marion township                      | Sanilac        |       1659
Port Huron charter township          | St. Clair      |      10654
Ocqueoc township                     | Presque Isle   |        655
Maple Forest township                | Crawford       |        653
Montrose city                        | Genesee        |       1657
Emmett township                      | St. Clair      |       2654
Hampton charter township             | Bay            |       9652
Allen township                       | Hillsdale      |       1657
Colfax township                      | Benzie         |        657
Zilwaukee city                       | Saginaw        |       1658
Chippewa township                    | Isabella       |       4654
Wright township                      | Hillsdale      |       1655
Sugar Island township                | Chippewa       |        652
Chesaning township                   | Saginaw        |       4659
Presque Isle township                | Presque Isle   |       1656
Gibraltar city                       | Wayne          |       4656
McBain city                          | Missaukee      |        656
Attica township                      | Lapeer         |       4755
Carp Lake township                   | Emmet          |        759
Garden township                      | Delta          |        750
Springville township                 | Wexford        |       1755
Dundee township                      | Monroe         |       6759
Baldwin township                     | Delta          |        759
Belding city                         | Ionia          |       5757
Belknap township                     | Presque Isle   |        751
Felch township                       | Dickinson      |        752
